id,user_id,opportunity_id,created_at,status,total_hours
6f88c8ba-85b2-4fa1-99d6-04631737d667,0fe973b4-b2f7-4582-a551-f21514e0c315,9051f645-1fe1-4ab6-a93c-2ec831a3b9ae,"2025-12-09 22:24:21.028391+00",,2.5
6854fdca-9c0e-4b97-9dde-5cfe90da1e7f,a8a18bc5-432a-481c-827f-93855145a279,ba265911-b590-4aee-8c21-1402948c811f,"2025-12-04 08:36:49.568597+00",,2.25
14aabe7d-d6a9-49b4-b9a1-9204d38ad08a,23c25558-1a99-425c-aada-b859b2c9341f,eea1ff4e-41ca-43c6-9e24-1631a1178845,"2025-12-03 22:09:32.292176+00",,2.5
7948e94e-af21-4fd7-b161-e8b45d88ae9d,b5161779-1690-4c41-95e8-8461c8390faf,256afc9a-04f8-4ccc-bfe6-3ba0f8e4ac6d,"2025-11-22 23:50:56.212231+00",,3
e354dbee-d754-4478-bc82-617b4592e2fd,dda76ed2-72f9-4a71-b50f-750de5d88102,eea1ff4e-41ca-43c6-9e24-1631a1178845,"2025-12-03 13:18:42.873061+00",,2.25
3fa69e60-50ca-4435-8a7a-2665cfb149ae,844cf2a4-6334-47d7-a9f7-408c56947691,eea1ff4e-41ca-43c6-9e24-1631a1178845,"2025-12-03 15:05:17.385476+00",,2.25
6e26c61a-309f-4438-b00a-d459794f1187,397ca719-3001-46a2-a8d5-08e5cb46b59d,eea1ff4e-41ca-43c6-9e24-1631a1178845,"2025-12-03 16:41:36.038474+00",,2.25
84ee2eac-d3fd-4066-87ce-6080db5b4f18,70238283-e27e-479a-864d-8471b35c79ab,eea1ff4e-41ca-43c6-9e24-1631a1178845,"2025-12-03 13:13:46.769825+00",,2.25
ee2799db-5203-4f51-85a6-8695b0b7714f,31c76a52-fd0a-48f2-a1f3-d06b09b412fa,230cef7f-5ba5-484d-bd87-67a63a7e5cb6,"2025-12-03 23:34:44.422421+00",,2.25
a9a808c1-be9a-416e-b490-1de05974ab0b,d3f2b516-b461-4941-beda-9d8443e8362e,230cef7f-5ba5-484d-bd87-67a63a7e5cb6,"2025-12-04 00:12:49.152938+00",,2.25
